Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
AGG UUW/PERSON/UNLOADED/AMMO,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERSON/LOADED FIREARM,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UNLAWFUL USE WEAPON/PERSON,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERS/LOAD/NO FCCA/FOID,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERS/UNLOADED/NO FCCA,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERSON/<21,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERSON/LOADED/NO FCCA,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW/PERS/FIR LOADED/FOID,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
"AGG UUW/LOADED PISTOL, REVOLVER, HANDGUN-NO CCL",720 ILCS 5/24-1.6(a)(3)(a)(5),720 ILCS 5/24-1.6,F4,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW W/BODY ARMOR/PRIVATE,720 ILCS 5/24-1.6(a),720 ILCS 5/24-1.6(body armor),FX,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW W/BODY ARMOR/PRIVATE,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6(body armor),FX,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW W/ BODY ARMOR/NO FOID,720 ILCS 5/24-1.6(a)(1),720 ILCS 5/24-1.6(body armor),FX,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW W/ BODY ARMOR/NO FOID,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6(body armor),FX,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
AGG UUW W/BODY ARMOR/PUBLIC,720 ILCS 5/24-1.6(a)(2),720 ILCS 5/24-1.6(body armor),FX,,UNLAWFUL USE OF A WEAPON: AGGRAVATED,,
UNLAWFUL VEHICULAR INVASION,720 ILCS 5/12-11.1,720 ILCS 5/18-6,F1,,UNLAWFUL VEHICULAR INVASION,,
UNLAWFUL VEHICULAR INVASION,720 ILCS 5/18-6(a),720 ILCS 5/18-6,F1,,UNLAWFUL VEHICULAR INVASION,,
VEHICULAR HIJACKING,720 ILCS 5/18-3(a),720 ILCS 5/18-3(a),F1,,VEHICULAR HIJACKING,,
AGG VEH HIJACKING/HANDICAPPED,720 ILCS 5/18-4(a)(1,720 ILCS 5/18-4(a)(1),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEH HIJACKING/HANDICAPPED,720 ILCS 5/18-4(a)(1),720 ILCS 5/18-4(a)(1),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEH HIJACKING/WEAPON,720 ILCS 5/18-4(a)(3),720 ILCS 5/18-4(a)(3),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGGRAVATED VEHICULAR HIJACKING WITH FIREARM,720 ILCS 5/18-4(a)(4,720 ILCS 5/18-4(a)(4),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEHICLE HIJACKING/FIREARM,720 ILCS 5 18-4(a)(4) [12369],720 ILCS 5/18-4(a)(4),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEHICLE HIJACKING/FIREARM,720 ILCS 5/18-4(a)(4),720 ILCS 5/18-4(a)(4),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEH HIJACKING/DISCHARGE,720 ILCS 5/18-4(a)(5),720 ILCS 5/18-4(a)(5),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
AGG VEH HIJACKING/DISCH/HARM,720 ILCS 5/18-4(a)(6),720 ILCS 5/18-4(a)(6),FX,,VEHICULAR HIJACKING: AGGRAVATED,,
VIOLATE ORDER/PRIOR DOM BTRY,720 ILCS 5/12-3.4(a)(1),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIO ORDER/PRIOR VIO OF ORDER,720 ILCS 5/12-3.4(a)(1),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIOLATE OP/OTHER PRIOR,720 ILCS 5/12-3.4(a)(1),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIO ORDER/NOTICE/PRIOR VIO O/P,720 ILCS 5/12-3.4(a)(2),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIO ORDER/NOTICE/PRIOR BATTERY,720 ILCS 5/12-3.4(a)(2),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIOLATE ORDER/PRIOR DOM BTRY,720 ILCS 5/12-30(a)(1),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIO ORDER/PRIOR VIO OF ORDER,720 ILCS 5/12-30(a)(1),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIOLATE OP/OTHER PRIOR,720 ILCS 5/12-3.4(a)(2),721 ILCS 5/12-3.4(prior),F4,,VIOLATE ORDER OF PROTECTION,,
VIOLATE ORDER PROTECTION,720 ILCS 5/12-3.4(a)(1),721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIOLATE ORDER PROTECTION,720 ILCS 5 12-3.4(a)(1) [16128],721 ILCS 5/12-3.4,MA,"A, 4",VIOLATE ORDER OF PROTECTION,"4: prior, murder",
VIOLATE ORDER OF PROTECTION,725 ILCS 5/112A-23(e),721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIO ORDER AFTER SERVED NOTICE,720 ILCS 5/12-3.4(a)(2),721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIOLATION OF ORDER OF PROTECTION,720 ILCS 5/12-30,721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIOLATE ORDER PROTECTION,720 ILCS 5/12-30(a)(1),721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIOLATE/ORDER OF PROTECTION,750 ILCS 60/223,721 ILCS 5/12-3.4,MA,,VIOLATE ORDER OF PROTECTION,,
VIOLATE STALKING NO CONTACT/2+,740 ILCS 21/125,740 ILCS 21/125(2+),F4,,VIOLATE STALKING NO CONTACT ORDER,,
VIO STALKING NO CONTACT ORDER,740 ILCS 21/125,740 ILCS 21/125,MA,,VIOLATE STALKING NO CONTACT ORDER,,
VIOLATION OF BAIL BOND,38-32-10,720 ILCS 5/32-10,F1,,VIOLATION OF BAIL BOND,,
VIOLATION OF BAIL BOND,720 ILCS 5/32-10,720 ILCS 5/32-10,F1,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS X CONVIC,720 ILCS 5/32-10,720 ILCS 5/32-10(Class X),F1,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS X OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class X),F1,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 1 CONVIC,720 ILCS 5/32-10,720 ILCS 5/32-10(Class 1),F2,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 1 OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class 1),F2,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 2 CONVIC,720 ILCS 5/32-10,720 ILCS 5/32-10(Class 2),F3,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 2 OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class 2),F3,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 3 OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class 3),F4,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS 4 OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class 4),MA,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS A CONVIC,720 ILCS 5/32-10,720 ILCS 5/32-10(Class A),MB,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS A OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class A),MB,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS M OFFENSE,720 ILCS 5 32-10 [1415000],720 ILCS 5/32-10(Class M),MB,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS M OFFENSE,720 ILCS 5/32-10,720 ILCS 5/32-10(Class M),MB,,VIOLATION OF BAIL BOND,,
VIO BAIL BOND/CLASS B OFFENSE,720 ILCS 5/32-10(a),720 ILCS 5/32-10(Class B),MC,,VIOLATION OF BAIL BOND,,
ESC/VIOLATE MONITORING WEAPON,730 ILCS 5/5-8A-4.1(c),730 ILCS 5/5-8A-4.1(c),F1,,VIOLATION OF ELECTRONIC MONITORING,,
ESCAPE/VIOLATE ELEC MONITORING,730 ILCS 5/5-8A-4.1(a),730 ILCS 5/5-8A-4.1(a),F3,,VIOLATION OF ELECTRONIC MONITORING,,
ESCAPE/VIOLATE ELEC MONITORING,730 ILCS 5/5-8A-4.1(b),730 ILCS 5/5-8A-4.1(b),MB,,VIOLATION OF ELECTRONIC MONITORING,,
ARREST/VIOLATION OF CONDITION OF PROBATION,730 ILCS 110/11,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
VIOLATION OF PROBATION,0,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
VIOLATION OF PROBATION OR REVOCATION,38-1005-4,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
"VIOLATION, MODIFICATION, OR REVOCATION OF PROBATION",730 ILCS 5 5-6-4,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
"VIOLATION, MODIFICATION, REVOCATION PROBATION",730 ILCS 5/5-6-4,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
VOP,,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
VIOLATION OF PROBATION,,730 ILCS 5/5-6-4,NONE,,VIOLATION OF PROBATION,,
WRONG WAY ON ONE-WAY STREET,625 ILCS 5/11-708(b),625 ILCS 5/11-708(b),MA,,WRONG WAY ON A ONE-WAY STREET,,
